| name                      | title                     | level | facing   | categories   | description                                                                                                                                    | detail                                                                                                                                                       | remediation                                                                                   | metadata                                                                                                                          | cache_key                                                  |
| ------------------------- | ------------------------- | ----- | -------- | ------------ | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------- |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.refund_requests\` is public, but RLS has not been enabled.                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"refund_requests","type":"table","schema":"public"}                                                                       | rls_disabled_in_public_public_refund_requests              |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.sessions\` is public, but RLS has not been enabled.                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"sessions","type":"table","schema":"public"}                                                                              | rls_disabled_in_public_public_sessions                     |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.notification_settings\` is public, but RLS has not been enabled.                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"notification_settings","type":"table","schema":"public"}                                                                 | rls_disabled_in_public_public_notification_settings        |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.journey_steps\` is public, but RLS has not been enabled.                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"journey_steps","type":"table","schema":"public"}                                                                         | rls_disabled_in_public_public_journey_steps                |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.journey_feedback\` is public, but RLS has not been enabled.                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"journey_feedback","type":"table","schema":"public"}                                                                      | rls_disabled_in_public_public_journey_feedback             |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.participants\` is public, but RLS has not been enabled.                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"participants","type":"table","schema":"public"}                                                                          | rls_disabled_in_public_public_participants                 |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.activity_events\` is public, but RLS has not been enabled.                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"activity_events","type":"table","schema":"public"}                                                                       | rls_disabled_in_public_public_activity_events              |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.journey_messages\` is public, but RLS has not been enabled.                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"journey_messages","type":"table","schema":"public"}                                                                      | rls_disabled_in_public_public_journey_messages             |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.journey_blocks\` is public, but RLS has not been enabled.                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"journey_blocks","type":"table","schema":"public"}                                                                        | rls_disabled_in_public_public_journey_blocks               |
